"","year","co2","co2_per_capita"
"1",1750,9.306,0.012
"2",1751,9.407,NA
"3",1752,9.505,NA
"4",1753,9.61,NA
"5",1754,9.734,NA
"6",1755,9.793,NA
"7",1756,9.91,NA
"8",1757,10.094,NA
"9",1758,10.216,NA
"10",1759,10.339,NA
"11",1760,10.514,0.013
"12",1761,10.748,NA
"13",1762,10.952,NA
"14",1763,11.192,NA
"15",1764,11.397,NA
"16",1765,11.643,NA
"17",1766,11.876,NA
"18",1767,12.153,NA
"19",1768,12.467,NA
"20",1769,12.78,NA
"21",1770,13.097,0.016
"22",1771,13.369,NA
"23",1772,13.624,NA
"24",1773,13.808,NA
"25",1774,14.012,NA
"26",1775,14.339,NA
"27",1776,14.654,NA
"28",1777,14.96,NA
"29",1778,15.243,NA
"30",1779,15.535,NA
"31",1780,15.879,0.018
"32",1781,16.234,NA
"33",1782,16.581,NA
"34",1783,17.063,NA
"35",1784,17.471,NA
"36",1785,17.965,NA
"37",1786,18.447,NA
"38",1787,18.859,NA
"39",1788,19.286,NA
"40",1789,19.863,NA
"41",1790,20.398,0.022
"42",1791,20.932,NA
"43",1792,21.929,NA
"44",1793,22.297,NA
"45",1794,22.52,NA
"46",1795,22.315,NA
"47",1796,22.121,NA
"48",1797,22.09,NA
"49",1798,23.106,NA
"50",1799,27.485,NA
"51",1800,32.798,0.034
"52",1801,31.986,NA
"53",1802,40.31,NA
"54",1803,29.539,NA
"55",1804,31.769,NA
"56",1805,31.252,NA
"57",1806,32.705,NA
"58",1807,36.201,NA
"59",1808,35.498,NA
"60",1809,36.334,NA
"61",1810,39.492,0.038
"62",1811,40.177,NA
"63",1812,40.815,NA
"64",1813,41.206,NA
"65",1814,42.227,NA
"66",1815,43.587,NA
"67",1816,45.497,NA
"68",1817,49.276,NA
"69",1818,51.392,NA
"70",1819,50.93,NA
"71",1820,50.733,0.048
"72",1821,52.059,NA
"73",1822,54.022,NA
"74",1823,56.358,NA
"75",1824,57.584,NA
"76",1825,60.731,NA
"77",1826,61.382,NA
"78",1827,65.739,NA
"79",1828,66.682,NA
"80",1829,66.307,NA
"81",1830,88.988,0.078
"82",1831,83.251,NA
"83",1832,82.092,NA
"84",1833,83.249,NA
"85",1834,88.763,NA
"86",1835,97.4,NA
"87",1836,106.894,NA
"88",1837,106.199,NA
"89",1838,105.845,NA
"90",1839,109.653,NA
"91",1840,118.809,0.098
"92",1841,122.166,NA
"93",1842,129.389,NA
"94",1843,132.369,NA
"95",1844,141.966,NA
"96",1845,155.073,NA
"97",1846,157.702,NA
"98",1847,170.797,NA
"99",1848,173.643,NA
"100",1849,185.048,NA
"101",1850,196.848,0.153
"102",1851,198.779,NA
"103",1852,207.595,NA
"104",1853,217.237,NA
"105",1854,255.039,NA
"106",1855,260.26,NA
"107",1856,278.246,NA
"108",1857,281.181,NA
"109",1858,285.548,NA
"110",1859,302.572,NA
"111",1860,332.298,0.247
"112",1861,349.19,NA
"113",1862,355.991,NA
"114",1863,379.535,NA
"115",1864,409.525,NA
"116",1865,434.851,NA
"117",1866,449.067,NA
"118",1867,480.814,NA
"119",1868,494.494,NA
"120",1869,524.731,NA
"121",1870,536.123,0.398
"122",1871,569.777,NA
"123",1872,630.961,NA
"124",1873,670.467,NA
"125",1874,628.662,NA
"126",1875,681.048,NA
"127",1876,690.583,NA
"128",1877,704.033,NA
"129",1878,709.65,NA
"130",1879,759.794,NA
"131",1880,858.056,0.601
"132",1881,887.965,NA
"133",1882,937.888,NA
"134",1883,997.515,NA
"135",1884,1009.43,NA
"136",1885,1017.145,NA
"137",1886,1032.614,NA
"138",1887,1083.728,NA
"139",1888,1200.802,NA
"140",1889,1201.516,NA
"141",1890,1306.591,0.844
"142",1891,1368.916,NA
"143",1892,1379.809,NA
"144",1893,1362.515,NA
"145",1894,1411.533,NA
"146",1895,1495.239,NA
"147",1896,1544.661,NA
"148",1897,1617.493,NA
"149",1898,1705.961,NA
"150",1899,1863.135,NA
"151",1900,1961.491,1.174
"152",1901,2023.964,NA
"153",1902,2074.8,NA
"154",1903,2262.046,NA
"155",1904,2287.509,NA
"156",1905,2437.062,NA
"157",1906,2544.486,NA
"158",1907,2900.325,NA
"159",1908,2785.687,NA
"160",1909,2901.167,NA
"161",1910,3043.326,1.691
"162",1911,3090.098,NA
"163",1912,3246.477,NA
"164",1913,3516.533,NA
"165",1914,3189.786,NA
"166",1915,3140.277,NA
"167",1916,3391.973,NA
"168",1917,3548.138,NA
"169",1918,3499.686,NA
"170",1919,3033.839,NA
"171",1920,3537.837,1.835
"172",1921,3106.184,NA
"173",1922,3254.463,NA
"174",1923,3690.698,NA
"175",1924,3702.777,NA
"176",1925,3740.634,NA
