year,co2,co2_per_capita
1751,9.351,NA
1752,9.354,NA
1753,9.354,NA
1754,9.358,NA
1755,9.362,NA
1756,10.006,NA
1757,10.01,NA
1758,10.014,NA
1759,10.017,NA
1760,10.017,NA
1761,10.974,NA
1762,10.977,NA
1763,10.981,NA
1764,10.985,NA
1765,10.988,NA
1766,12.26,NA
1767,12.263,NA
1768,12.267,NA
1769,12.271,NA
1770,12.274,NA
1771,13.612,NA
1772,13.615,NA
1773,13.619,NA
1774,13.623,NA
1775,13.626,NA
1776,15.037,NA
1777,15.041,NA
1778,15.044,NA
1779,15.048,NA
1780,15.055,NA
1781,16.843,NA
1782,16.847,NA
1783,16.854,NA
1784,16.858,NA
1785,16.869,NA
1786,19.152,NA
1787,19.159,NA
1788,19.163,NA
1789,19.17,NA
1790,19.177,NA
1791,21.42,NA
1792,21.896,NA
1793,21.914,NA
1794,21.881,NA
1795,21.892,NA
1796,22.951,NA
1797,24.094,NA
1798,25.095,NA
1799,26.428,NA
1800,28.092,0.028
1801,27.96,NA
1802,36.783,NA
1803,31.488,NA
1804,34.31,NA
1805,33.419,NA
1806,35.046,NA
1807,36.874,NA
1808,35.064,NA
1809,35.09,NA
1810,37.38,NA
1811,39.582,NA
1812,41.007,NA
1813,41.22,NA
1814,42.129,NA
1815,43.488,NA
1816,47.665,NA
1817,49.431,NA
1818,49.644,NA
1819,49.948,NA
1820,50.688,NA
1821,51.435,NA
1822,53.465,NA
1823,56.55,NA
1824,58.525,NA
1825,60.756,NA
1826,61.42,NA
1827,65.915,NA
1828,66.637,NA
1829,66.395,NA
1830,89.123,NA
1831,84.528,NA
1832,85.111,NA
1833,86.807,NA
1834,88.486,NA
1835,90.446,NA
1836,104.776,NA
1837,104.691,NA
1838,108.044,NA
1839,111.613,NA
1840,118.93,NA
1841,122.619,NA
1842,129.504,NA
1843,132.853,NA
1844,141.423,NA
1845,155.211,NA
1846,157.794,NA
1847,172.402,NA
1848,173.816,NA
1849,183.511,NA
1850,196.896,0.156
1851,198.743,NA
1852,207.496,NA
1853,217.099,NA
1854,255.011,NA
1855,260.034,NA
1856,277.108,NA
1857,279.68,NA
1858,283.967,NA
1859,301.001,NA
1860,330.709,NA
1861,347.787,NA
1862,354.115,NA
1863,377.923,NA
1864,407.151,NA
1865,432.367,NA
1866,446.037,NA
1867,477.815,NA
